CellName	Chromosome	Count
Reproductive	Chr07	0
Reproductive	Chr08	0
Reproductive	Chr09	0
Reproductive	Chr10	0
Reproductive	Chr11	0
Reproductive	Chr12	0
Reproductive	Chr13	0
Reproductive	Chr14	0
Reproductive	Chr15	0
Reproductive	Chr16	0
Reproductive	Chr17	0
Reproductive	Chr18	0
Reproductive	Chr19	0
Reproductive	Chr20	0
Reproductive	Chr21	0
Reproductive	Chr22	0
Reproductive	Chr23	0
Reproductive	Chr24	0
Secretory	Chr01	1
Secretory	Chr02	0
Secretory	Chr03	0
Secretory	Chr04	0
Secretory	Chr05	0
Secretory	Chr06	0
Secretory	Chr07	0
Secretory	Chr08	0
Secretory	Chr09	0
Secretory	Chr10	0
Secretory	Chr11	0
Secretory	Chr12	0
Secretory	Chr13	0
Secretory	Chr14	0
Secretory	Chr15	0
Secretory	Chr16	0
Secretory	Chr17	0
Secretory	Chr18	0
Secretory	Chr19	0
Secretory	Chr20	0
Secretory	Chr21	0
Secretory	Chr22	0
Secretory	Chr23	0
Secretory	Chr24	0
Stromal	Chr01	2
Stromal	Chr02	0
Stromal	Chr03	0
Stromal	Chr04	0
Stromal	Chr05	0
Stromal	Chr06	0
Stromal	Chr07	0
Stromal	Chr08	0
Stromal	Chr09	0
Stromal	Chr10	0
Stromal	Chr11	0
Stromal	Chr12	0
Stromal	Chr13	0
Stromal	Chr14	0
Stromal	Chr15	0
Stromal	Chr16	0
Stromal	Chr17	0
Stromal	Chr18	0
Stromal	Chr19	0
Stromal	Chr20	0
Stromal	Chr21	0
Stromal	Chr22	0
Stromal	Chr23	0
Stromal	Chr24	0
